comparator_minus_mds_ci95_high,comparator_minus_mds_ci95_low,comparator_minus_mds_mean,epsilon,method,posterior_mmd_mean,posterior_mmd_se,posterior_mmd_std,rmse_mean,rmse_std,trials
0.03809130387008188,-0.0007318767905235291,0.015583993792533874,0.0,NPE,0.10017786860466003,0.017578690147770384,0.17578690147770384,0.09726471348665655,0.05535359770707125,100
0.5373695869892836,0.47140900532901286,0.5009555780887603,0.0,NNPE,0.5855494529008866,0.021426370917868368,0.21426370917868368,0.12472757392562926,0.15066510621843543,100
0.0,0.0,0.0,0.0,NPE-MDS (RF),0.08459387481212616,0.011464416754490904,0.11464416754490904,0.09580897161737084,0.052067456285398654,100
0.6991279734522103,0.36592052730917934,0.5216882622241974,0.0,NPE-OR,0.6062821370363235,0.0921368684514863,0.921368684514863,0.12357353509403765,0.08317173931358435,100
1.390127601161599,0.9538050344586372,1.1699657356739044,0.1,NPE,1.5784093004465103,0.10991739029796635,1.0991739029796634,0.1725358090165537,0.08429448739464603,100
0.7673461305499076,0.5444791880846024,0.6550416672229766,0.1,NNPE,1.0634852319955825,0.04767650818874466,0.4767650818874466,0.193580982349813,0.13468032452399276,100
0.0,0.0,0.0,0.1,NPE-MDS (RF),0.4084435647726059,0.03739558384534315,0.37395583845343155,0.10872195659205318,0.055166872237442745,100
0.5536746283918618,0.16681147299706936,0.3509764951467514,0.1,NPE-OR,0.7594200599193573,0.10014232760648234,1.0014232760648234,0.1282767046103254,0.08768534567363151,100
2.246521828368306,1.523378386542201,1.8847692203521729,0.2,NPE,2.943823907971382,0.16311412992699786,1.6311412992699788,0.2621161196008325,0.1447185353062075,100
0.9099343592971563,0.436871728554368,0.6747033470869064,0.2,NNPE,1.7337580347061157,0.093384177558033,0.93384177558033,0.2643114145472646,0.1612306002715064,100
0.0,0.0,0.0,0.2,NPE-MDS (RF),1.0590546876192093,0.09559274630076187,0.9559274630076187,0.1471132017672062,0.0698710161067054,100
0.0669267360419033,-0.4231186178177595,-0.17807611525058747,0.2,NPE-OR,0.8809785723686219,0.1010756153198807,1.010756153198807,0.13581732391379775,0.08617680613490089,100
2.3838182548582547,1.4636770178526641,1.9270850044488907,0.3,NPE,4.002649155259133,0.17300673556878843,1.7300673556878843,0.35274073760956526,0.18669806971221625,100
0.7898506710082291,0.04033220584690571,0.4159321504831314,0.3,NNPE,2.491496301293373,0.11350800219422741,1.135080021942274,0.3487370026856661,0.1836472596770944,100
0.0,0.0,0.0,0.3,NPE-MDS (RF),2.0755641508102416,0.14311288745286127,1.4311288745286128,0.19625339072197676,0.09954931942673134,100
-0.6719363521486521,-1.3538179939240216,-1.0129344791173935,0.3,NPE-OR,1.0626296716928483,0.1033368810579017,1.033368810579017,0.14174881726503372,0.08661410081113889,100
0.9536885301768777,-0.014959372848272319,0.4737619698047638,0.5,NPE,5.184083938002586,0.1790712568701948,1.7907125687019478,0.5332958394661546,0.26642167540390976,100
-0.6308174581527711,-1.5450087349563837,-1.0867327642440796,0.5,NNPE,3.623589203953743,0.1473279758916012,1.473279758916012,0.5162260029092431,0.25038170978100177,100
0.0,0.0,0.0,0.5,NPE-MDS (RF),4.710321968197823,0.1885368633037654,1.885368633037654,0.4688438697252423,0.2866891359989801,100
-2.761765728250146,-3.570091253653169,-3.165901620388031,0.5,NPE-OR,1.5444203478097915,0.11593661601565382,1.1593661601565382,0.17696265131235123,0.09057689225981971,100
