epsilon,sample_index,method,posterior_mmd,rmse,true_theta_0,true_theta_1,actual_contamination_fraction,ocsvm_outlier_fraction,mds_gate_passed,mds_lbfgs_evaluations,mds_adapt_and_sample_ms
0.0,0,NPE,0.03885519504547119,0.02013806626200676,0.0034663756377995014,-0.25272366404533386,0.0,0.0,,,
0.0,0,NNPE,0.5479120016098022,0.045222025364637375,0.0034663756377995014,-0.25272366404533386,0.0,0.0,,,
0.0,0,NPE-MDS (RF),0.030987560749053955,0.02367623709142208,0.0034663756377995014,-0.25272366404533386,0.0,0.0,True,0,19.204423064365983
0.0,0,NPE-OR,0.025034427642822266,0.023024961352348328,0.0034663756377995014,-0.25272366404533386,0.0,0.0,,,
0.0,1,NPE,0.10393816232681274,0.12270151823759079,0.3353289067745209,-1.3347008228302002,0.0,0.06,,,
0.0,1,NNPE,0.552918016910553,0.07110385596752167,0.3353289067745209,-1.3347008228302002,0.0,0.06,,,
0.0,1,NPE-MDS (RF),0.11075365543365479,0.12193429470062256,0.3353289067745209,-1.3347008228302002,0.0,0.06,True,0,24.98207602184266
0.0,1,NPE-OR,1.1416643857955933,0.19585683941841125,0.3353289067745209,-1.3347008228302002,0.0,0.06,,,
0.0,2,NPE,0.048028647899627686,0.1727011501789093,0.042062848806381226,-0.30778980255126953,0.0,0.01,,,
0.0,2,NNPE,0.5915938019752502,0.19465391337871552,0.042062848806381226,-0.30778980255126953,0.0,0.01,,,
0.0,2,NPE-MDS (RF),0.0525507926940918,0.17327174544334412,0.042062848806381226,-0.30778980255126953,0.0,0.01,True,0,15.819435007870197
0.0,2,NPE-OR,0.058624267578125,0.18732787668704987,0.042062848806381226,-0.30778980255126953,0.0,0.01,,,
0.0,3,NPE,0.20402562618255615,0.20566730201244354,-0.18699553608894348,-1.6276658773422241,0.0,0.07,,,
0.0,3,NNPE,0.5357950329780579,0.1682691127061844,-0.18699553608894348,-1.6276658773422241,0.0,0.07,,,
0.0,3,NPE-MDS (RF),0.1982526183128357,0.20292963087558746,-0.18699553608894348,-1.6276658773422241,0.0,0.07,True,0,22.670702077448368
0.0,3,NPE-OR,1.87723970413208,0.23278099298477173,-0.18699553608894348,-1.6276658773422241,0.0,0.07,,,
0.0,4,NPE,0.08581089973449707,0.17831893265247345,0.02087545022368431,-0.6469335556030273,0.0,0.0,,,
0.0,4,NNPE,0.6383761167526245,0.21480870246887207,0.02087545022368431,-0.6469335556030273,0.0,0.0,,,
0.0,4,NPE-MDS (RF),0.09694969654083252,0.17819280922412872,0.02087545022368431,-0.6469335556030273,0.0,0.0,True,0,15.502833994105458
0.0,4,NPE-OR,0.09502869844436646,0.17934441566467285,0.02087545022368431,-0.6469335556030273,0.0,0.0,,,
0.0,5,NPE,0.16619884967803955,0.01473321858793497,0.3249884843826294,1.1140481233596802,0.0,0.01,,,
0.0,5,NNPE,0.5048543810844421,0.06918831169605255,0.3249884843826294,1.1140481233596802,0.0,0.01,,,
0.0,5,NPE-MDS (RF),0.1465134620666504,0.01795317232608795,0.3249884843826294,1.1140481233596802,0.0,0.01,True,0,25.4448699997738
0.0,5,NPE-OR,0.09681224822998047,0.009793261997401714,0.3249884843826294,1.1140481233596802,0.0,0.01,,,
0.0,6,NPE,0.026629626750946045,0.013149463571608067,-0.34545621275901794,0.9166619777679443,0.0,0.0,,,
0.0,6,NNPE,0.5087898969650269,0.018505239859223366,-0.34545621275901794,0.9166619777679443,0.0,0.0,,,
0.0,6,NPE-MDS (RF),0.021838009357452393,0.02061627060174942,-0.34545621275901794,0.9166619777679443,0.0,0.0,True,0,15.308088040910661
0.0,6,NPE-OR,0.016747593879699707,0.017025068402290344,-0.34545621275901794,0.9166619777679443,0.0,0.0,,,
0.0,7,NPE,0.07177811861038208,0.08244483917951584,-0.9023668169975281,-1.2188870906829834,0.0,0.06,,,
0.0,7,NNPE,0.5138676166534424,0.025821520015597343,-0.9023668169975281,-1.2188870906829834,0.0,0.06,,,
0.0,7,NPE-MDS (RF),0.07889658212661743,0.08346842974424362,-0.9023668169975281,-1.2188870906829834,0.0,0.06,True,0,17.22396502736956
0.0,7,NPE-OR,1.027836561203003,0.021667664870619774,-0.9023668169975281,-1.2188870906829834,0.0,0.06,,,
0.0,8,NPE,0.287736713886261,0.04930349066853523,-0.1512223780155182,-0.07644481211900711,0.0,0.01,,,
0.0,8,NNPE,0.6200278997421265,0.05600772798061371,-0.1512223780155182,-0.07644481211900711,0.0,0.01,,,
0.0,8,NPE-MDS (RF),0.27238500118255615,0.04838868975639343,-0.1512223780155182,-0.07644481211900711,0.0,0.01,True,0,15.383598045445979
0.0,8,NPE-OR,0.5042149424552917,0.07036091387271881,-0.1512223780155182,-0.07644481211900711,0.0,0.01,,,
0.0,9,NPE,0.07953083515167236,0.12635016441345215,-0.4993504583835602,1.0928330421447754,0.0,0.03,,,
0.0,9,NNPE,0.5054420828819275,0.114312544465065,-0.4993504583835602,1.0928330421447754,0.0,0.03,,,
0.0,9,NPE-MDS (RF),0.01308286190032959,0.10523694008588791,-0.4993504583835602,1.0928330421447754,0.0,0.03,False,3,18.33681995049119
0.0,9,NPE-OR,0.2612120509147644,0.13698580861091614,-0.4993504583835602,1.0928330421447754,0.0,0.03,,,
0.0,10,NPE,0.03143888711929321,0.08114442229270935,-0.3023119270801544,-0.9670495986938477,0.0,0.01,,,
0.0,10,NNPE,0.580498218536377,0.11548422276973724,-0.3023119270801544,-0.9670495986938477,0.0,0.01,,,
0.0,10,NPE-MDS (RF),0.0372692346572876,0.0855531096458435,-0.3023119270801544,-0.9670495986938477,0.0,0.01,True,0,15.057605924084783
0.0,10,NPE-OR,0.0588841438293457,0.09248191118240356,-0.3023119270801544,-0.9670495986938477,0.0,0.01,,,
0.0,11,NPE,0.07615906000137329,0.04457584023475647,0.8054856061935425,0.6639500260353088,0.0,0.03,,,
0.0,11,NNPE,0.5362172722816467,0.05959397926926613,0.8054856061935425,0.6639500260353088,0.0,0.03,,,
0.0,11,NPE-MDS (RF),0.06212258338928223,0.04366438090801239,0.8054856061935425,0.6639500260353088,0.0,0.03,True,0,16.2997969891876
