epsilon,sample_index,method,posterior_mmd,rmse,true_theta_0,true_theta_1,actual_contamination_fraction,ocsvm_outlier_fraction,mds_gate_passed,mds_lbfgs_evaluations,mds_adapt_and_sample_ms
0.0,11,NPE-OR,0.584341287612915,0.0499662347137928,0.8054856061935425,0.6639500260353088,0.0,0.03,,,
0.0,12,NPE,0.05773043632507324,0.2510450780391693,0.29265096783638,1.1471621990203857,0.0,0.0,,,
0.0,12,NNPE,0.5042850971221924,0.2450057715177536,0.29265096783638,1.1471621990203857,0.0,0.0,,,
0.0,12,NPE-MDS (RF),0.05161142349243164,0.25009292364120483,0.29265096783638,1.1471621990203857,0.0,0.0,True,0,16.245533945038915
0.0,12,NPE-OR,0.038162946701049805,0.25163888931274414,0.29265096783638,1.1471621990203857,0.0,0.0,,,
0.0,13,NPE,0.04827147722244263,0.07814071327447891,1.0135084390640259,0.7626789212226868,0.0,0.03,,,
0.0,13,NNPE,0.591327428817749,0.059739500284194946,1.0135084390640259,0.7626789212226868,0.0,0.03,,,
0.0,13,NPE-MDS (RF),0.03962230682373047,0.0785427838563919,1.0135084390640259,0.7626789212226868,0.0,0.03,True,0,16.882654977962375
0.0,13,NPE-OR,0.4357722997665405,0.10644535720348358,1.0135084390640259,0.7626789212226868,0.0,0.03,,,
0.0,14,NPE,0.08603537082672119,0.10694872587919235,-0.9014445543289185,1.4033788442611694,0.0,0.03,,,
0.0,14,NNPE,0.4883926510810852,0.11979922652244568,-0.9014445543289185,1.4033788442611694,0.0,0.03,,,
0.0,14,NPE-MDS (RF),0.08073556423187256,0.11118370294570923,-0.9014445543289185,1.4033788442611694,0.0,0.03,True,0,16.818761941976845
0.0,14,NPE-OR,0.5013719201087952,0.16822122037410736,-0.9014445543289185,1.4033788442611694,0.0,0.03,,,
0.0,15,NPE,0.05178380012512207,0.07868930697441101,-1.7398908138275146,0.10118403285741806,0.0,0.04,,,
0.0,15,NNPE,0.5293657183647156,0.12075510621070862,-1.7398908138275146,0.10118403285741806,0.0,0.04,,,
0.0,15,NPE-MDS (RF),0.05084258317947388,0.0834280401468277,-1.7398908138275146,0.10118403285741806,0.0,0.04,True,0,15.81384101882577
0.0,15,NPE-OR,0.4364086389541626,0.13251951336860657,-1.7398908138275146,0.10118403285741806,0.0,0.04,,,
0.0,16,NPE,0.00934755802154541,0.11681866645812988,-0.5207852721214294,-1.1230578422546387,0.0,0.03,,,
0.0,16,NNPE,0.5915286540985107,0.08253420889377594,-0.5207852721214294,-1.1230578422546387,0.0,0.03,,,
0.0,16,NPE-MDS (RF),0.0017964839935302734,0.10982303321361542,-0.5207852721214294,-1.1230578422546387,0.0,0.03,True,0,17.193723935633898
0.0,16,NPE-OR,0.2164490818977356,0.15425533056259155,-0.5207852721214294,-1.1230578422546387,0.0,0.03,,,
0.0,17,NPE,0.03527688980102539,0.07223716378211975,-0.1985640972852707,-1.0447931289672852,0.0,0.01,,,
0.0,17,NNPE,0.5638458132743835,0.10068106651306152,-0.1985640972852707,-1.0447931289672852,0.0,0.01,,,
0.0,17,NPE-MDS (RF),0.03143572807312012,0.07356371730566025,-0.1985640972852707,-1.0447931289672852,0.0,0.01,True,0,16.211342997848988
0.0,17,NPE-OR,0.07196342945098877,0.0735550969839096,-0.1985640972852707,-1.0447931289672852,0.0,0.01,,,
0.0,18,NPE,0.0779983401298523,0.05478052794933319,-1.1451773643493652,-0.19114214181900024,0.0,0.01,,,
0.0,18,NNPE,0.5649161338806152,0.09505608677864075,-1.1451773643493652,-0.19114214181900024,0.0,0.01,,,
0.0,18,NPE-MDS (RF),0.08587664365768433,0.05556198209524155,-1.1451773643493652,-0.19114214181900024,0.0,0.01,True,0,14.015672961249948
0.0,18,NPE-OR,0.15256059169769287,0.04701240733265877,-1.1451773643493652,-0.19114214181900024,0.0,0.01,,,
0.0,19,NPE,0.0251806378364563,0.012926196679472923,-0.5013502240180969,1.086443543434143,0.0,0.02,,,
0.0,19,NNPE,0.5490215420722961,0.050766345113515854,-0.5013502240180969,1.086443543434143,0.0,0.02,,,
0.0,19,NPE-MDS (RF),0.031176447868347168,0.011868703179061413,-0.5013502240180969,1.086443543434143,0.0,0.02,True,0,14.328874996863306
0.0,19,NPE-OR,0.2830721139907837,0.05798976123332977,-0.5013502240180969,1.086443543434143,0.0,0.02,,,
0.0,20,NPE,0.047671735286712646,0.07267950475215912,-1.6043837070465088,0.4359384775161743,0.0,0.02,,,
0.0,20,NNPE,0.6320834159851074,0.1774805635213852,-1.6043837070465088,0.4359384775161743,0.0,0.02,,,
0.0,20,NPE-MDS (RF),0.05145692825317383,0.07655268907546997,-1.6043837070465088,0.4359384775161743,0.0,0.02,True,0,14.078226988203824
0.0,20,NPE-OR,0.3333645462989807,0.11770554631948471,-1.6043837070465088,0.4359384775161743,0.0,0.02,,,
0.0,21,NPE,0.054487407207489014,0.1598755568265915,1.4058946371078491,0.10195069015026093,0.0,0.03,,,
0.0,21,NNPE,0.5374569892883301,0.11515568196773529,1.4058946371078491,0.10195069015026093,0.0,0.03,,,
0.0,21,NPE-MDS (RF),0.06392014026641846,0.16212132573127747,1.4058946371078491,0.10195069015026093,0.0,0.03,True,0,15.532172983512282
0.0,21,NPE-OR,0.24668461084365845,0.20596763491630554,1.4058946371078491,0.10195069015026093,0.0,0.03,,,
0.0,22,NPE,0.02592611312866211,0.04560219869017601,-0.7018910646438599,-0.23399357497692108,0.0,0.01,,,
0.0,22,NNPE,0.6647377014160156,0.025911161676049232,-0.7018910646438599,-0.23399357497692108,0.0,0.01,,,
0.0,22,NPE-MDS (RF),0.029504120349884033,0.05098878592252731,-0.7018910646438599,-0.23399357497692108,0.0,0.01,True,0,16.164553933776915
0.0,22,NPE-OR,0.031242728233337402,0.047094497829675674,-0.7018910646438599,-0.23399357497692108,0.0,0.01,,,
0.0,23,NPE,0.03435468673706055,0.04572388902306557,-0.1780577003955841,1.5896658897399902,0.0,0.06,,,
0.0,23,NNPE,0.5186488032341003,0.05879352614283562,-0.1780577003955841,1.5896658897399902,0.0,0.06,,,
0.0,23,NPE-MDS (RF),0.02810770273208618,0.041761819273233414,-0.1780577003955841,1.5896658897399902,0.0,0.06,True,0,16.468553920276463
0.0,23,NPE-OR,1.6390001773834229,0.17392611503601074,-0.1780577003955841,1.5896658897399902,0.0,0.06,,,
0.0,24,NPE,0.07809507846832275,0.06990548223257065,-0.740035891532898,1.815863847732544,0.0,0.09,,,
0.0,24,NNPE,0.46281152963638306,0.07011638581752777,-0.740035891532898,1.815863847732544,0.0,0.09,,,
0.0,24,NPE-MDS (RF),0.07303309440612793,0.06598398834466934,-0.740035891532898,1.815863847732544,0.0,0.09,True,0,16.04809006676078
0.0,24,NPE-OR,1.518359899520874,0.18884190917015076,-0.740035891532898,1.815863847732544,0.0,0.09,,,
0.0,25,NPE,0.028934478759765625,0.15368463099002838,-0.0846903845667839,0.9342324137687683,0.0,0.01,,,
0.0,25,NNPE,0.5386949777603149,0.1912141889333725,-0.0846903845667839,0.9342324137687683,0.0,0.01,,,
0.0,25,NPE-MDS (RF),0.03450119495391846,0.15574946999549866,-0.0846903845667839,0.9342324137687683,0.0,0.01,True,0,17.7746859844774
0.0,25,NPE-OR,0.1702553629875183,0.14853504300117493,-0.0846903845667839,0.9342324137687683,0.0,0.01,,,
0.0,26,NPE,0.11228179931640625,0.14034998416900635,0.2856703996658325,1.0452316999435425,0.0,0.01,,,
0.0,26,NNPE,0.5252600312232971,0.07606402784585953,0.2856703996658325,1.0452316999435425,0.0,0.01,,,
0.0,26,NPE-MDS (RF),0.09320241212844849,0.1407133936882019,0.2856703996658325,1.0452316999435425,0.0,0.01,True,0,15.957836993038654
0.0,26,NPE-OR,0.33765310049057007,0.16784024238586426,0.2856703996658325,1.0452316999435425,0.0,0.01,,,
0.0,27,NPE,0.012926220893859863,0.09471030533313751,-0.7287384271621704,-0.9169890880584717,0.0,0.04,,,
0.0,27,NNPE,0.6695825457572937,0.16400067508220673,-0.7287384271621704,-0.9169890880584717,0.0,0.04,,,
0.0,27,NPE-MDS (RF),0.007235467433929443,0.09252574294805527,-0.7287384271621704,-0.9169890880584717,0.0,0.04,True,0,16.18283404968679
0.0,27,NPE-OR,0.21177947521209717,0.12497658282518387,-0.7287384271621704,-0.9169890880584717,0.0,0.04,,,
0.0,28,NPE,0.05113440752029419,0.0907336100935936,-0.48220589756965637,1.1460150480270386,0.0,0.02,,,
0.0,28,NNPE,0.45763975381851196,0.09529389441013336,-0.48220589756965637,1.1460150480270386,0.0,0.02,,,
0.0,28,NPE-MDS (RF),0.058236122131347656,0.0896301344037056,-0.48220589756965637,1.1460150480270386,0.0,0.02,True,0,16.362340073101223
0.0,28,NPE-OR,0.29850107431411743,0.07469896972179413,-0.48220589756965637,1.1460150480270386,0.0,0.02,,,
0.0,29,NPE,0.028363704681396484,0.043915387243032455,-0.47303611040115356,1.2378671169281006,0.0,0.03,,,
0.0,29,NNPE,0.5345970988273621,0.05722987279295921,-0.47303611040115356,1.2378671169281006,0.0,0.03,,,
0.0,29,NPE-MDS (RF),0.024237215518951416,0.04724765196442604,-0.47303611040115356,1.2378671169281006,0.0,0.03,True,0,16.83158497326076
0.0,29,NPE-OR,0.33525609970092773,0.025903474539518356,-0.47303611040115356,1.2378671169281006,0.0,0.03,,,
0.0,30,NPE,0.044607698917388916,0.147955060005188,1.968983769416809,-0.29783394932746887,0.0,0.09,,,
0.0,30,NNPE,0.6164455413818359,0.14620746672153473,1.968983769416809,-0.29783394932746887,0.0,0.09,,,
0.0,30,NPE-MDS (RF),0.06409400701522827,0.14470860362052917,1.968983769416809,-0.29783394932746887,0.0,0.09,True,0,16.349739977158606
0.0,30,NPE-OR,1.4096604585647583,0.17196926474571228,1.968983769416809,-0.29783394932746887,0.0,0.09,,,
0.0,31,NPE,0.6536818742752075,0.05714724585413933,0.973676323890686,-0.5150094628334045,0.0,0.02,,,
0.0,31,NNPE,0.6508761644363403,0.0801021009683609,0.973676323890686,-0.5150094628334045,0.0,0.02,,,
0.0,31,NPE-MDS (RF),0.21520841121673584,0.07794415205717087,0.973676323890686,-0.5150094628334045,0.0,0.02,False,5,22.868916974402964
0.0,31,NPE-OR,0.6901894211769104,0.06614410132169724,0.973676323890686,-0.5150094628334045,0.0,0.02,,,
0.0,32,NPE,0.028092265129089355,0.03203415870666504,1.3708711862564087,1.4774197340011597,0.0,0.12,,,
0.0,32,NNPE,0.5494330525398254,0.05525510758161545,1.3708711862564087,1.4774197340011597,0.0,0.12,,,
0.0,32,NPE-MDS (RF),0.021243691444396973,0.031174954026937485,1.3708711862564087,1.4774197340011597,0.0,0.12,True,0,15.968758030794561
0.0,32,NPE-OR,1.8706693649291992,0.1400027573108673,1.3708711862564087,1.4774197340011597,0.0,0.12,,,
0.0,33,NPE,0.007482469081878662,0.1544940024614334,-1.1950522661209106,-0.5362082719802856,0.0,0.07,,,
0.0,33,NNPE,0.5228651165962219,0.16231966018676758,-1.1950522661209106,-0.5362082719802856,0.0,0.07,,,
0.0,33,NPE-MDS (RF),0.01017063856124878,0.14992274343967438,-1.1950522661209106,-0.5362082719802856,0.0,0.07,True,0,16.37031906284392
0.0,33,NPE-OR,0.9534738659858704,0.12423412501811981,-1.1950522661209106,-0.5362082719802856,0.0,0.07,,,
0.0,34,NPE,0.011286795139312744,0.13166005909442902,-1.450286626815796,-0.49161991477012634,0.0,0.03,,,
0.0,34,NNPE,0.5384176969528198,0.12827655673027039,-1.450286626815796,-0.49161991477012634,0.0,0.03,,,
0.0,34,NPE-MDS (RF),0.010634779930114746,0.13556841015815735,-1.450286626815796,-0.49161991477012634,0.0,0.03,True,0,16.064338968135417
0.0,34,NPE-OR,0.27308720350265503,0.15551608800888062,-1.450286626815796,-0.49161991477012634,0.0,0.03,,,
0.0,35,NPE,0.05229449272155762,0.18074260652065277,-0.5116258263587952,-0.8835273385047913,0.0,0.03,,,
0.0,35,NNPE,0.6233322620391846,0.23594079911708832,-0.5116258263587952,-0.8835273385047913,0.0,0.03,,,
0.0,35,NPE-MDS (RF),0.06349599361419678,0.17950642108917236,-0.5116258263587952,-0.8835273385047913,0.0,0.03,True,0,16.07119000982493
0.0,35,NPE-OR,0.44431936740875244,0.14392410218715668,-0.5116258263587952,-0.8835273385047913,0.0,0.03,,,
0.0,36,NPE,0.049279630184173584,0.09466633945703506,-1.2976938486099243,-0.638124942779541,0.0,0.02,,,
0.0,36,NNPE,0.5872247219085693,0.08238501846790314,-1.2976938486099243,-0.638124942779541,0.0,0.02,,,
0.0,36,NPE-MDS (RF),0.04525625705718994,0.09563422948122025,-1.2976938486099243,-0.638124942779541,0.0,0.02,True,0,17.39561406429857
0.0,36,NPE-OR,0.1713595986366272,0.09701273590326309,-1.2976938486099243,-0.638124942779541,0.0,0.02,,,
0.0,37,NPE,0.01721411943435669,0.025414755567908287,0.3024098575115204,-0.7037293910980225,0.0,0.0,,,
0.0,37,NNPE,0.5906912088394165,0.08053243160247803,0.3024098575115204,-0.7037293910980225,0.0,0.0,,,
0.0,37,NPE-MDS (RF),0.0274236798286438,0.025782236829400063,0.3024098575115204,-0.7037293910980225,0.0,0.0,True,0,16.213155002333224
0.0,37,NPE-OR,0.020016849040985107,0.025871973484754562,0.3024098575115204,-0.7037293910980225,0.0,0.0,,,
0.0,38,NPE,0.021733343601226807,0.043965842574834824,-0.2601340711116791,0.6977452039718628,0.0,0.0,,,
0.0,38,NNPE,0.5642207264900208,0.02732938900589943,-0.2601340711116791,0.6977452039718628,0.0,0.0,,,
0.0,38,NPE-MDS (RF),0.015471935272216797,0.04553510621190071,-0.2601340711116791,0.6977452039718628,0.0,0.0,True,0,15.952558955177665
0.0,38,NPE-OR,0.018047749996185303,0.04303547367453575,-0.2601340711116791,0.6977452039718628,0.0,0.0,,,
0.0,39,NPE,0.6026349663734436,0.23009063303470612,1.5332286357879639,-0.17570261657238007,0.0,0.08,,,
0.0,39,NNPE,0.6100954413414001,0.23957747220993042,1.5332286357879639,-0.17570261657238007,0.0,0.08,,,
0.0,39,NPE-MDS (RF),0.20831263065338135,0.20858122408390045,1.5332286357879639,-0.17570261657238007,0.0,0.08,False,4,20.033776992931962
0.0,39,NPE-OR,1.4421777725219727,0.23840130865573883,1.5332286357879639,-0.17570261657238007,0.0,0.08,,,
0.0,40,NPE,0.023822367191314697,0.07473663985729218,-0.6975300908088684,0.4093663692474365,0.0,0.0,,,
0.0,40,NNPE,0.5617857575416565,0.08693154901266098,-0.6975300908088684,0.4093663692474365,0.0,0.0,,,
0.0,40,NPE-MDS (RF),0.01901787519454956,0.07341492176055908,-0.6975300908088684,0.4093663692474365,0.0,0.0,True,0,16.262148041278124
0.0,40,NPE-OR,0.019505798816680908,0.07321096956729889,-0.6975300908088684,0.4093663692474365,0.0,0.0,,,
0.0,41,NPE,0.015294075012207031,0.14412595331668854,0.07696080207824707,1.2347289323806763,0.0,0.01,,,
0.0,41,NNPE,0.4993830919265747,0.1527239829301834,0.07696080207824707,1.2347289323806763,0.0,0.01,,,
0.0,41,NPE-MDS (RF),0.02329617738723755,0.14568787813186646,0.07696080207824707,1.2347289323806763,0.0,0.01,True,0,16.38427097350359
0.0,41,NPE-OR,0.1522313356399536,0.16452953219413757,0.07696080207824707,1.2347289323806763,0.0,0.01,,,
0.0,42,NPE,0.20202642679214478,0.018290666863322258,-2.060802459716797,-0.10087104886770248,0.0,0.09,,,
0.0,42,NNPE,0.5654836297035217,0.20826728641986847,-2.060802459716797,-0.10087104886770248,0.0,0.09,,,
0.0,42,NPE-MDS (RF),0.17999309301376343,0.020931780338287354,-2.060802459716797,-0.10087104886770248,0.0,0.09,True,0,15.970326960086823
0.0,42,NPE-OR,1.357447862625122,0.10318556427955627,-2.060802459716797,-0.10087104886770248,0.0,0.09,,,
0.0,43,NPE,0.03214472532272339,0.05963147431612015,1.0308375358581543,0.10991067439317703,0.0,0.03,,,
0.0,43,NNPE,0.5791113972663879,0.04360293224453926,1.0308375358581543,0.10991067439317703,0.0,0.03,,,
0.0,43,NPE-MDS (RF),0.029312074184417725,0.06147997826337814,1.0308375358581543,0.10991067439317703,0.0,0.03,True,0,15.744789969176054
0.0,43,NPE-OR,0.2676188349723816,0.09351994842290878,1.0308375358581543,0.10991067439317703,0.0,0.03,,,
0.0,44,NPE,0.005027115345001221,0.15957212448120117,-0.8565986752510071,0.3531729578971863,0.0,0.03,,,
0.0,44,NNPE,0.48738330602645874,0.12134052813053131,-0.8565986752510071,0.3531729578971863,0.0,0.03,,,
0.0,44,NPE-MDS (RF),0.0052797794342041016,0.1594385951757431,-0.8565986752510071,0.3531729578971863,0.0,0.03,True,0,16.202035010792315
0.0,44,NPE-OR,0.10260212421417236,0.12938982248306274,-0.8565986752510071,0.3531729578971863,0.0,0.03,,,
0.0,45,NPE,0.036003291606903076,0.15052632987499237,0.3404518663883209,-1.286728858947754,0.0,0.04,,,
0.0,45,NNPE,0.57905113697052,0.15819455683231354,0.3404518663883209,-1.286728858947754,0.0,0.04,,,
0.0,45,NPE-MDS (RF),0.050431132316589355,0.14419592916965485,0.3404518663883209,-1.286728858947754,0.0,0.04,True,0,17.619809019379318
0.0,45,NPE-OR,0.4150128960609436,0.197847381234169,0.3404518663883209,-1.286728858947754,0.0,0.04,,,
0.0,46,NPE,0.02223682403564453,0.07438434660434723,1.5430396795272827,1.2036744356155396,0.0,0.05,,,
0.0,46,NNPE,0.4959266781806946,0.06402413547039032,1.5430396795272827,1.2036744356155396,0.0,0.05,,,
0.0,46,NPE-MDS (RF),0.028061509132385254,0.07466933876276016,1.5430396795272827,1.2036744356155396,0.0,0.05,True,0,16.08714205212891
0.0,46,NPE-OR,0.8143699765205383,0.16725581884384155,1.5430396795272827,1.2036744356155396,0.0,0.05,,,
0.0,47,NPE,0.06313306093215942,0.13354815542697906,-1.423356294631958,0.6214219331741333,0.0,0.06,,,
0.0,47,NNPE,0.4885619878768921,0.18706856667995453,-1.423356294631958,0.6214219331741333,0.0,0.06,,,
0.0,47,NPE-MDS (RF),0.0527268648147583,0.13278275728225708,-1.423356294631958,0.6214219331741333,0.0,0.06,True,0,16.306838020682335
0.0,47,NPE-OR,0.5583074688911438,0.13196930289268494,-1.423356294631958,0.6214219331741333,0.0,0.06,,,
0.0,48,NPE,0.044569969177246094,0.08049275726079941,-0.10106422007083893,0.9587892889976501,0.0,0.02,,,
0.0,48,NNPE,0.5213111639022827,0.10193337500095367,-0.10106422007083893,0.9587892889976501,0.0,0.02,,,
0.0,48,NPE-MDS (RF),0.0380551815032959,0.07946265488862991,-0.10106422007083893,0.9587892889976501,0.0,0.02,True,0,16.330019920133054
0.0,48,NPE-OR,0.315334677696228,0.04440702497959137,-0.10106422007083893,0.9587892889976501,0.0,0.02,,,
0.0,49,NPE,0.10376453399658203,0.13720755279064178,0.3347972333431244,-1.0988836288452148,0.0,0.03,,,
0.0,49,NNPE,0.5351847410202026,0.11956038326025009,0.3347972333431244,-1.0988836288452148,0.0,0.03,,,
0.0,49,NPE-MDS (RF),0.11268424987792969,0.1409997195005417,0.3347972333431244,-1.0988836288452148,0.0,0.03,True,0,15.609795926138759
0.0,49,NPE-OR,0.32638001441955566,0.1774083822965622,0.3347972333431244,-1.0988836288452148,0.0,0.03,,,
0.0,50,NPE,0.045023441314697266,0.05827147513628006,1.2884423732757568,0.3238936960697174,0.0,0.02,,,
0.0,50,NNPE,0.6289132237434387,0.03350961580872536,1.2884423732757568,0.3238936960697174,0.0,0.02,,,
0.0,50,NPE-MDS (RF),0.0505528450012207,0.05958273261785507,1.2884423732757568,0.3238936960697174,0.0,0.02,True,0,15.700686955824494
0.0,50,NPE-OR,0.14685815572738647,0.09662344306707382,1.2884423732757568,0.3238936960697174,0.0,0.02,,,
0.0,51,NPE,0.024039745330810547,0.039434727281332016,-0.6984418630599976,0.6626145839691162,0.0,0.01,,,
0.0,51,NNPE,0.5175965428352356,0.013092919252812862,-0.6984418630599976,0.6626145839691162,0.0,0.01,,,
0.0,51,NPE-MDS (RF),0.02749532461166382,0.04155336692929268,-0.6984418630599976,0.6626145839691162,0.0,0.01,True,0,16.396370017901063
0.0,51,NPE-OR,0.04038846492767334,0.05724155902862549,-0.6984418630599976,0.6626145839691162,0.0,0.01,,,
0.0,52,NPE,0.08729976415634155,0.06938181072473526,1.2768011093139648,0.3734709918498993,0.0,0.0,,,
0.0,52,NNPE,0.591773509979248,0.0724501758813858,1.2768011093139648,0.3734709918498993,0.0,0.0,,,
0.0,52,NPE-MDS (RF),0.0942506194114685,0.07235807925462723,1.2768011093139648,0.3734709918498993,0.0,0.0,True,0,15.894234064035118
0.0,52,NPE-OR,0.06353163719177246,0.06903458386659622,1.2768011093139648,0.3734709918498993,0.0,0.0,,,
0.0,53,NPE,0.01628589630126953,0.028173903003335,-0.32237136363983154,1.3295801877975464,0.0,0.04,,,
0.0,53,NNPE,0.5399981141090393,0.02748231776058674,-0.32237136363983154,1.3295801877975464,0.0,0.04,,,
0.0,53,NPE-MDS (RF),0.01617109775543213,0.03028523176908493,-0.32237136363983154,1.3295801877975464,0.0,0.04,True,0,16.224634018726647
0.0,53,NPE-OR,0.8906775712966919,0.11977473646402359,-0.32237136363983154,1.3295801877975464,0.0,0.04,,,
0.0,54,NPE,0.048129379749298096,0.06578733772039413,0.17298585176467896,-0.30106261372566223,0.0,0.01,,,
0.0,54,NNPE,0.5471493601799011,0.05770973116159439,0.17298585176467896,-0.30106261372566223,0.0,0.01,,,
0.0,54,NPE-MDS (RF),0.04281646013259888,0.0677303746342659,0.17298585176467896,-0.30106261372566223,0.0,0.01,True,0,16.790902009233832
