panel,method,epsilon,value,lower,upper,vector_x,vector_y,vector_y_low,vector_y_high
predictive_mmd,NPE,0.4,0.036726412311845355,0.03608784385696161,0.03736468499294475,250.157437,109.135377,99.126365,119.139753
predictive_mmd,NPE,0.5,0.03730139016868612,0.03660751259032313,0.03799556345703411,270.277452,118.147661,107.271726,129.028231
predictive_mmd,NNPE,0.0,0.033082815766427014,0.032832889662023586,0.03333303758081544,169.677375,52.025131,48.107754,55.947143
predictive_mmd,NNPE,0.1,0.033091984626143156,0.0328698610022712,0.03331381247623076,189.797391,52.168845,48.687248,55.645806
predictive_mmd,NNPE,0.2,0.03361224490707338,0.03332682639514344,0.033897367645218966,209.917406,60.323478,55.849788,64.792532
predictive_mmd,NNPE,0.3,0.03338154390725463,0.033081632671289614,0.03368115943323466,230.037421,56.707438,52.006587,61.403654
predictive_mmd,NNPE,0.4,0.033589766354660204,0.03329281279273933,0.03388671991658108,250.157437,59.971146,55.316654,64.625638
predictive_mmd,NNPE,0.5,0.03377787637612805,0.033453120397475056,0.03410233658099669,270.277452,62.919609,57.829338,68.005244
predictive_mmd,NPE-MDS (RF),0.0,0.03290328305710661,0.032644779640555746,0.03316178647365747,169.677375,49.21111,45.159291,53.262929
predictive_mmd,NPE-MDS (RF),0.1,0.032960070985708245,0.0326835255597101,0.033236616411706395,189.797391,50.101212,45.7666,54.435824
predictive_mmd,NPE-MDS (RF),0.2,0.03169417328834799,0.031564625838187886,0.031824016576091796,209.917406,30.259353,28.228808,32.294535
predictive_mmd,NPE-MDS (RF),0.3,0.03177728482855935,0.03161727299760798,0.03193729665951073,230.037421,31.562055,29.054007,34.070103
predictive_mmd,NPE-MDS (RF),0.4,0.031925170061951086,0.031747707769121135,0.03210292812856539,250.157437,33.880029,31.09846,36.666234
predictive_mmd,NPE-MDS (RF),0.5,0.03247737352879498,0.03224726414034428,0.03270718720726068,270.277452,42.535344,38.928577,46.137476
predictive_mmd,NPE-OR,0.0,0.03351109142121409,0.03318426502607065,0.03383821352634253,169.677375,58.737984,53.615261,63.865342
predictive_mmd,NPE-OR,0.1,0.03303992901429176,0.032788819878550285,0.03329103815003323,189.797391,51.352918,47.416998,55.288838
predictive_mmd,NPE-OR,0.2,0.03337444546402894,0.033060632923998835,0.033688257940259696,209.917406,56.596176,51.677434,61.514917
predictive_mmd,NPE-OR,0.3,0.033339544540271784,0.03301478849781944,0.03366430051892477,230.037421,56.049134,50.958862,61.139405
predictive_mmd,NPE-OR,0.4,0.033561668164143736,0.033230405226034404,0.03389293110225307,250.157437,59.530731,54.338469,64.722993
predictive_mmd,NPE-OR,0.5,0.0344158532834431,0.0340038449953972,0.03482786157148899,270.277452,72.919349,66.461473,79.377225
