epsilon,sample_index,method,true_state,posterior_mean,rmse,predictive_rff_mmd,actual_contamination_fraction,mds_gate_passed,mds_lbfgs_evaluations,mds_adapt_and_sample_ms
0.0,0,NPE,8,8.331910133361816,0.3319101333618164,0.003992766291307421,0.0,,,
0.0,0,NPE-MDS (RF),8,13.828222274780273,5.828222274780273,0.004486217610983626,0.0,True,0,130.79283200204372
0.0,1,NPE,19,10.223176002502441,8.776823997497559,0.006116739580791685,0.0,,,
0.0,1,NPE-MDS (RF),19,13.793899536132812,5.2061004638671875,0.005146129172808579,0.0,False,1,288.46121893730015
0.0,2,NPE,2,5.271656036376953,3.271656036376953,0.004234929840754858,0.0,,,
0.0,2,NPE-MDS (RF),2,13.555185317993164,11.555185317993164,0.005652069324453508,0.0,True,0,287.4162560328841
0.0,3,NPE,10,13.793065071105957,3.793065071105957,0.004037212709184634,0.0,,,
0.0,3,NPE-MDS (RF),10,13.800576210021973,3.8005762100219727,0.00403708093483045,0.0,True,0,203.52531597018242
0.0,4,NPE,10,5.371606826782227,4.628393173217773,0.0034288095464877384,0.0,,,
0.0,4,NPE-MDS (RF),10,13.747241020202637,3.7472410202026367,0.004135818522256763,0.0,True,0,206.18134003598243
0.0,5,NPE,15,12.736800193786621,2.263199806213379,0.004501646490710192,0.0,,,
0.0,5,NPE-MDS (RF),15,13.690286636352539,1.309713363647461,0.004351245042717397,0.0,True,0,211.79599000606686
0.0,6,NPE,9,13.14311408996582,4.14311408996582,0.004191795201910707,0.0,,,
0.0,6,NPE-MDS (RF),9,13.843955039978027,4.843955039978027,0.004250026607548956,0.0,True,0,288.16517896484584
0.0,7,NPE,4,10.377185821533203,6.377185821533203,0.004426169812876498,0.0,,,
0.0,7,NPE-MDS (RF),4,13.81628704071045,9.81628704071045,0.005297730158499764,0.0,True,0,201.17001002654433
0.0,8,NPE,17,8.397870063781738,8.602129936218262,0.00513386622210578,0.0,,,
0.0,8,NPE-MDS (RF),17,13.717761993408203,3.282238006591797,0.004160758947018008,0.0,False,1,204.53882799483836
0.0,9,NPE,16,15.918025970458984,0.08197402954101562,0.004094477200428876,0.0,,,
0.0,9,NPE-MDS (RF),16,13.7734375,2.2265625,0.004187979169903565,0.0,True,0,203.90047691762447
0.0,10,NPE,17,9.981131553649902,7.018868446350098,0.005232242435742306,0.0,,,
0.0,10,NPE-MDS (RF),17,13.841024398803711,3.158975601196289,0.004440276244798462,0.0,False,11,385.07295900490135
0.0,11,NPE,5,8.213308334350586,3.213308334350586,0.003928315101309284,0.0,,,
0.0,11,NPE-MDS (RF),5,13.728710174560547,8.728710174560547,0.0045843927004122,0.0,True,0,199.26231808494776
0.0,12,NPE,8,11.29214859008789,3.2921485900878906,0.003320112858401219,0.0,,,
0.0,12,NPE-MDS (RF),8,13.784653663635254,5.784653663635254,0.003536758658998872,0.0,True,0,205.83398803137243
0.0,13,NPE,4,8.138694763183594,4.138694763183594,0.004458013075050089,0.0,,,
0.0,13,NPE-MDS (RF),4,13.75491714477539,9.75491714477539,0.005523664280307171,0.0,True,0,201.03411399759352
0.0,14,NPE,7,9.335065841674805,2.3350658416748047,0.003798171707660078,0.0,,,
0.0,14,NPE-MDS (RF),7,13.740243911743164,6.740243911743164,0.0044949325320814346,0.0,True,0,205.5603989865631
0.0,15,NPE,9,8.822381019592285,0.17761898040771484,0.004485660050804826,0.0,,,
0.0,15,NPE-MDS (RF),9,13.758209228515625,4.758209228515625,0.005020400413532968,0.0,True,0,204.91505903191864
0.0,16,NPE,2,6.444221496582031,4.444221496582031,0.004235354947698358,0.0,,,
0.0,16,NPE-MDS (RF),2,13.716714859008789,11.716714859008789,0.006152568880002528,0.0,True,0,205.61048993840814
0.0,17,NPE,18,12.298748016357422,5.701251983642578,0.004345395176670382,0.0,,,
0.0,17,NPE-MDS (RF),18,13.587984085083008,4.412015914916992,0.004166989262119201,0.0,True,0,195.90826204512268
