epsilon,sample,theta_1,theta_2_log,summary_clean,summary_observed,summary_mds,npe_mean_baseline,npe_mean_mds,rmse_baseline,rmse_mds,gate_passed,lbfgs_evaluations,adapt_ms
0,24,1.24013137817,1.97806930542,"[7.241131782531738, 0.0011340726632624865, 0.7522823214530945]","[7.241131782531738, 0.0011340726632624865, 0.7522823214530945]","[7.224442481994629, 0.004773417487740517, 0.7727171778678894]","[1.2788811922073364, 1.9795228242874146]","[1.183675765991211, 1.9448494911193848]",0.02741952613,0.0463184192777,False,9,121.043977793
0,25,1.8783390522,1.09949707985,"[3.004338264465332, 0.0007637106464244425, 0.6352095007896423]","[3.004338264465332, 0.0007637106464244425, 0.6352095007896423]","[3.004338264465332, 0.0007637106464244425, 0.6352095007896423]","[1.8364477157592773, 1.0975298881530762]","[1.8364477157592773, 1.0975298881530762]",0.0296542905271,0.0296542905271,True,0,4.83179092407
0,26,0.304980754852,-0.270941257477,"[3.4669253826141357, 0.14421983063220978, 0.9977715611457825]","[3.4669253826141357, 0.14421983063220978, 0.9977715611457825]","[3.4669253826141357, 0.14421983063220978, 0.9977715611457825]","[0.303619921207428, -0.2493583858013153]","[0.303619921207428, -0.2493583858013153]",0.015291701071,0.015291701071,True,0,16.3371688686
0,27,1.26232719421,1.59587097168,"[4.950228691101074, 0.001303755328990519, 0.7910897731781006]","[4.950228691101074, 0.001303755328990519, 0.7910897731781006]","[4.950228691101074, 0.001303755328990519, 0.7910897731781006]","[1.2585829496383667, 1.5946317911148071]","[1.2585829496383667, 1.5946317911148071]",0.00278881122358,0.00278881122358,True,0,16.703012865
0,28,0.923421025276,-0.591073513031,"[0.738476037979126, 0.008663228712975979, 0.9566086530685425]","[0.738476037979126, 0.008663228712975979, 0.9566086530685425]","[0.738476037979126, 0.008663228712975979, 0.9566086530685425]","[0.9193733930587769, -0.6008564233779907]","[0.9193733930587769, -0.6008564233779907]",0.0074862758629,0.0074862758629,True,0,13.6140040122
0,29,0.201174259186,0.12864780426,"[5.089654922485352, 0.13440130650997162, 0.9977282881736755]","[5.089654922485352, 0.13440130650997162, 0.9977282881736755]","[5.089654922485352, 0.13440130650997162, 0.9977282881736755]","[0.19898873567581177, 0.4682256281375885]","[0.19898873567581177, 0.4682256281375885]",0.240122750401,0.240122750401,True,0,9.59555804729
0,30,0.390838623047,-0.640078544617,"[2.4653403759002686, 0.12314016371965408, 0.9972752928733826]","[2.4653403759002686, 0.12314016371965408, 0.9972752928733826]","[2.4653403759002686, 0.12314016371965408, 0.9972752928733826]","[0.3894098997116089, -0.6584377884864807]","[0.3894098997116089, -0.6584377884864807]",0.0130211953074,0.0130211953074,True,0,16.2886439357
0,31,0.755759716034,0.425132513046,"[1.8894474506378174, 0.018655117601156235, 0.9790859222412109]","[1.8894474506378174, 0.018655117601156235, 0.9790859222412109]","[1.8894474506378174, 0.018655117601156235, 0.9790859222412109]","[0.7522215843200684, 0.42004796862602234]","[0.7522215843200684, 0.42004796862602234]",0.00438012368977,0.00438012368977,True,0,22.8630718775
0,32,0.963084101677,-1.8414375782,"[0.3245968520641327, 0.007402714807540178, 0.9549848437309265]","[0.3245968520641327, 0.007402714807540178, 0.9549848437309265]","[0.3245968520641327, 0.007402714807540178, 0.9549848437309265]","[0.9474557042121887, -1.8321901559829712]","[0.9474557042121887, -1.8321901559829712]",0.0128405923024,0.0128405923024,True,0,16.8793979101
0,33,1.76100611687,-0.31640291214,"[0.7315931916236877, 0.0007525875698775053, 0.6023102402687073]","[0.7315931916236877, 0.0007525875698775053, 0.6023102402687073]","[0.7315931916236877, 0.0007525875698775053, 0.6023102402687073]","[1.945143461227417, -0.3117159605026245]","[1.945143461227417, -0.3117159605026245]",0.130246937275,0.130246937275,True,0,24.8835240491
