n,replicate,original_posterior_mean,mds_posterior_mean,posterior_variance,original_squared_radius,mds_squared_radius
10,0,-0.051096403583,-0.0508318887866,0.0975609756098,0.100171818069,0.100144856527
10,1,0.44415429299,0.480337342916,0.0975609756098,0.294834011591,0.32828493861
10,2,-0.0182649567824,-0.0992069954126,0.0975609756098,0.097894584256,0.107403003549
10,3,0.660839743901,0.797238976779,0.0975609756098,0.534270142729,0.733150961706
10,4,-0.422081598898,-0.396159464917,0.0975609756098,0.275713851738,0.254503297253
10,5,-0.282044284858,-0.0298346231469,0.0975609756098,0.177109954231,0.0984510803481
10,6,0.0516337530591,-0.00482469031213,0.0975609756098,0.100227020065,0.0975842532464
10,7,-0.272489724367,-0.16374902408,0.0975609756098,0.171811625495,0.124374718497
10,8,0.0204758239062,0.0340072958668,0.0975609756098,0.0979802349744,0.0987174717819
10,9,-0.377695942553,-0.157474240153,0.0975609756098,0.240215200631,0.122359111922
10,10,-0.0193015389403,0.0497867286877,0.0975609756098,0.0979335250152,0.100039693963
10,11,-0.0511817874471,0.0673282303006,0.0975609756098,0.100180550976,0.102094066205
10,12,0.158815505241,0.311543305812,0.0975609756098,0.122783340315,0.194620207006
10,13,-0.138888311807,-0.183729603214,0.0975609756098,0.116850938766,0.131317542707
10,14,-0.264782535984,-0.137494491007,0.0975609756098,0.167670766972,0.116465710667
10,15,0.353293691951,0.551456149414,0.0975609756098,0.222377408382,0.401664860336
10,16,-0.0442015872242,-0.146447005726,0.0975609756098,0.0995147559229,0.119007701096
10,17,0.186714312164,-0.108454346351,0.0975609756098,0.132423209976,0.109323320852
10,18,-0.578600709742,-0.378687940084,0.0975609756098,0.432339756923,0.240965531575
10,19,0.0615121080956,0.159636455884,0.0975609756098,0.101344715052,0.123044773657
10,20,0.234882622984,0.411280283136,0.0975609756098,0.15273082219,0.266712446906
10,21,0.317051972394,0.196597646928,0.0975609756098,0.198082928809,0.136211610387
10,22,-0.185444226677,-0.180831300046,0.0975609756098,0.131950536818,0.130260934686
10,23,0.161399005337,0.172592595894,0.0975609756098,0.123610614534,0.127349179767
10,24,-0.23765840141,-0.236458634183,0.0975609756098,0.154042491371,0.153473661289
10,25,-0.249301786092,-0.254439189538,0.0975609756098,0.159712356159,0.162300276782
10,26,-0.0753078561026,-0.315121203459,0.0975609756098,0.103232248801,0.196862348479
10,27,0.837638163273,0.831588718854,0.0975609756098,0.799198668181,0.789100772934
10,28,0.18839297736,0.168684052021,0.0975609756098,0.133052889529,0.126015285016
10,29,-0.0521681192387,-0.0444756813687,0.0975609756098,0.100282488275,0.099539061843
10,30,0.577042964184,0.599022400196,0.0975609756098,0.430539558124,0.456388811546
10,31,0.169575223679,0.169887101183,0.0975609756098,0.126316732096,0.126422602758
10,32,0.383711099042,0.364317511852,0.0975609756098,0.244795183138,0.230288225052
10,33,0.022760978515,0.215090258832,0.0975609756098,0.0980790377527,0.143824795054
10,34,0.318956822414,-0.0672582283436,0.0975609756098,0.199294430174,0.10208464489
10,35,0.23708225826,0.244328323958,0.0975609756098,0.153768972791,0.157257305498
10,36,0.464932263948,0.748045752404,0.0975609756098,0.313722985669,0.657133423299
10,37,0.61522994635,0.572595295364,0.0975609756098,0.476068862496,0.425426347883
10,38,-0.297237038537,-0.19211995316,0.0975609756098,0.185910832688,0.134471052012
10,39,-0.0364947067631,-0.20043913095,0.0975609756098,0.0988928392315,0.137736820826
10,40,-0.271940300981,-0.18954616287,0.0975609756098,0.171512502907,0.133488723468
10,41,0.0854886631276,0.0119062721122,0.0975609756098,0.104869287133,0.0977027349254
10,42,-0.463695284154,-0.4639032743,0.0975609756098,0.312574292156,0.312767223516
10,43,0.444989548298,0.468019723053,0.0975609756098,0.295576673704,0.316603436777
10,44,0.125157748881,0.171533004804,0.0975609756098,0.113225437715,0.126984547347
10,45,-0.029230211901,0.0442082305939,0.0975609756098,0.0984153808975,0.099515343262
10,46,0.231308157428,0.241127693944,0.0975609756098,0.151064439303,0.155703540397
10,47,-0.72303753211,-1.04320593518,0.0975609756098,0.620344248449,1.1858395988
10,48,-0.0279667849502,0.144970297163,0.0975609756098,0.0983431166702,0.118577362669
10,49,-0.281257310125,-0.318291168644,0.0975609756098,0.176666650108,0.198870243646
10,50,0.1499263344,-0.0147051405495,0.0975609756098,0.120038881356,0.0977772167683
10,51,-0.0278547171801,-0.0203290218342,0.0975609756098,0.0983368608789,0.0979742447385
10,52,-0.291518335393,-0.240199584703,0.0975609756098,0.18254391548,0.155256816101
10,53,-0.454660797156,-0.404506888557,0.0975609756098,0.30427741608,0.2611867985
10,54,0.214672784328,0.47045553944,0.0975609756098,0.143645379941,0.3188893902
10,55,-0.178405060752,-0.257101278364,0.0975609756098,0.129389341312,0.163662042946
10,56,0.225618766093,0.0540158241442,0.0975609756098,0.148464803223,0.100478684868
10,57,-0.260020712354,-0.375523362012,0.0975609756098,0.165171746463,0.238578771026
10,58,0.0198313182758,0.031866062876,0.0975609756098,0.0979542567943,0.098576421573
10,59,0.268106015836,0.249774900226,0.0975609756098,0.169441811337,0.159948476393
10,60,0.723643265491,0.65792151981,0.0975609756098,0.621220551301,0.530421701839
10,61,-0.403477266304,-0.451383900468,0.0975609756098,0.260354880034,0.301308401212
10,62,-0.234680766514,-0.231215439192,0.0975609756098,0.152636037781,0.15102155493
10,63,0.16449915757,0.12926205578,0.0975609756098,0.124620948451,0.114269654674
10,64,-0.34087286292,-0.341974361479,0.0975609756098,0.213755284285,0.214507439518
10,65,0.312107489229,0.212567002635,0.0975609756098,0.194972060442,0.142745706219
10,66,0.641811838342,0.595438545214,0.0975609756098,0.509483411446,0.452108036736
10,67,-0.363253628198,-0.375187381116,0.0975609756098,0.229514174009,0.238326546558
10,68,-0.311551479758,-0.281375204374,0.0975609756098,0.194625300149,0.176732981246
10,69,-0.334343298253,-0.378766965011,0.0975609756098,0.209346416696,0.241025389393
10,70,0.13520634837,0.135685323418,0.0975609756098,0.115841732249,0.115971482601
10,71,0.435985483931,0.453109430077,0.0975609756098,0.287644317808,0.302869131234
10,72,0.118297688893,0.113453716844,0.0975609756098,0.111555318807,0.110432721475
10,73,-0.416207740208,-0.683349724349,0.0975609756098,0.270789858618,0.564527821378
10,74,-0.237081146222,-0.466166911896,0.0975609756098,0.153768445504,0.314872565356
10,75,0.207998683331,0.24857799152,0.0975609756098,0.140824427877,0.159351993478
10,76,-0.0472485825787,0.167664856844,0.0975609756098,0.0997934041655,0.12567247983
10,77,-0.465911733553,-0.258422224235,0.0975609756098,0.314634719072,0.164343021588
10,78,-0.0230914696363,-0.0359047022482,0.0975609756098,0.0980941915797,0.0988501232533
10,79,-0.199324116754,-0.219072211633,0.0975609756098,0.137291079129,0.145553609519
10,80,0.404293797028,0.603897760764,0.0975609756098,0.261014449925,0.462253481066
10,81,0.261150068254,0.266561402754,0.0975609756098,0.165760333759,0.168615957048
10,82,-0.0123880795468,0.22501158195,0.0975609756098,0.0977144401246,0.148191187622
10,83,-0.280384104355,-0.22596255625,0.0975609756098,0.176176221585,0.148620052437
10,84,0.188469062195,0.169697711592,0.0975609756098,0.133081563015,0.126358288929
10,85,0.769933863948,0.766758807109,0.0975609756098,0.690359130464,0.68548004389
10,86,0.100100226597,0.387157199749,0.0975609756098,0.107581030975,0.247451672927
10,87,-0.366791881557,-0.298823336325,0.0975609756098,0.232097259986,0.186856361942
10,88,-0.217759838092,-0.218756946856,0.0975609756098,0.144980322695,0.145415577407
10,89,-0.491818205485,-0.482756971832,0.0975609756098,0.339446122857,0.330615269462
10,90,0.0621862019646,0.11894541714,0.0975609756098,0.101428099325,0.111708987868
10,91,0.440208300847,0.581183433053,0.0975609756098,0.291344323745,0.435335158465
10,92,-0.0504091562043,-0.185241220209,0.0975609756098,0.100102058639,0.131875285274
10,93,0.117004200486,-0.0868097302139,0.0975609756098,0.111250958541,0.10509690487
10,94,-0.455079054762,-0.481048052479,0.0975609756098,0.304657921692,0.328968204404
10,95,-0.11046787568,-0.0162775125364,0.0975609756098,0.109764127167,0.0978259330241
10,96,-0.0794795522275,-0.256183186384,0.0975609756098,0.103877974832,0.163190800595
10,97,-0.48512843221,-0.448087698316,0.0975609756098,0.332910571348,0.298343560992
10,98,-0.152287877214,-0.181865530199,0.0975609756098,0.120752573156,0.130636046684
10,99,0.16660377083,0.208290225132,0.0975609756098,0.125317792065,0.140945793495
10,100,0.378519537917,0.370477782904,0.0975609756098,0.240838016194,0.234814763235
10,101,0.0540279647726,-0.0888399244779,0.0975609756098,0.100479996587,0.105453507791
10,102,-0.308770554416,-0.192159186841,0.0975609756098,0.192900230884,0.134486128697
10,103,-0.718237877505,-0.690415031359,0.0975609756098,0.613426624293,0.574233891137
10,104,-0.347465614018,-0.294862594737,0.0975609756098,0.218293328535,0.184504925385
10,105,-0.112692955692,0.0783998716984,0.0975609756098,0.110260677872,0.103707515492
10,106,0.0223258252278,0.214667196349,0.0975609756098,0.0980594180819,0.143642980798
10,107,0.327573561441,0.342790524058,0.0975609756098,0.204865413765,0.215066318993
10,108,0.126913047625,0.349560843263,0.0975609756098,0.113667897267,0.219753758753
10,109,-0.271781806408,-0.426992260902,0.0975609756098,0.171426325904,0.27988336648
10,110,-0.13101859235,-0.237048511429,0.0975609756098,0.114726847151,0.153752972381
10,111,-0.145986218861,-0.340338603978,0.0975609756098,0.118872951707,0.213391340967
10,112,0.00979966340891,-0.0390722928422,0.0975609756098,0.0976570090127,0.0990876196777
10,113,0.322608317292,0.282484745493,0.0975609756098,0.201637101996,0.177358607046
10,114,0.00546374213364,-0.253896285823,0.0975609756098,0.0975908280879,0.162024299564
10,115,-0.242259227148,-0.249457521049,0.0975609756098,0.156250508748,0.159790030418
10,116,0.408879878298,0.302158240779,0.0975609756098,0.264743730487,0.188860578081
10,117,0.0237899965891,0.0729664346092,0.0975609756098,0.0981269395475,0.102885076189
10,118,-0.280376220253,-0.233689210948,0.0975609756098,0.176171800493,0.152171622923
10,119,0.233745550956,0.133611318724,0.0975609756098,0.152197958201,0.115412960101
10,120,0.449240081138,0.552534995033,0.0975609756098,0.299377626111,0.402855896346
10,121,0.598449403668,0.624407384561,0.0975609756098,0.45570266436,0.487445557504
10,122,0.0332102695036,-0.0202974259998,0.0975609756098,0.0986638976103,0.097972961112
10,123,0.241315427409,0.149985799084,0.0975609756098,0.155794111115,0.120056715537
10,124,-0.421466681096,-0.449313165632,0.0975609756098,0.275195138884,0.29944329642
10,125,0.522961355779,0.502423208641,0.0975609756098,0.371049555248,0.349990056191
10,126,0.188358178523,0.512626979884,0.0975609756098,0.133039779026,0.360347396114
10,127,-0.0129029627499,0.0710633578652,0.0975609756098,0.0977274620575,0.102610976441
10,128,-0.104164078174,-0.17400107855,0.0975609756098,0.108411130792,0.127837350946
10,129,-0.359075880945,-0.365744814256,0.0975609756098,0.226496463886,0.231330244765
10,130,-0.053019112138,-0.0376804272966,0.0975609756098,0.100372001862,0.098980790211
10,131,-0.103235203666,-0.0968643542358,0.0975609756098,0.108218482886,0.106943678731
10,132,0.658717128912,0.673147735466,0.0975609756098,0.531469231532,0.550688849372
10,133,0.16031161703,0.345930411485,0.0975609756098,0.123260790165,0.2172288252
10,134,-0.135223244903,-0.158206961324,0.0975609756098,0.115846301572,0.122590418221
10,135,0.0918371358914,-0.206698388607,0.0975609756098,0.105995035138,0.140285199462
10,136,0.00766097679808,0.137853746113,0.0975609756098,0.0976196661753,0.116564630927
10,137,0.170980086513,0.198329173559,0.0975609756098,0.126795165594,0.136895436694
10,138,-0.0815100817398,-0.283952046858,0.0975609756098,0.104204869035,0.178189740525
10,139,-0.39535099691,-0.431903612335,0.0975609756098,0.253863386367,0.284101705958
10,140,0.307817146224,0.250019339335,0.0975609756098,0.192312371119,0.160070645651
10,141,-0.611075016158,-0.540632911406,0.0975609756098,0.470973650982,0.389844920505
10,142,-0.246395837396,-0.296158795927,0.0975609756098,0.158271884296,0.185271008015
10,143,-0.328210183208,-0.495320291795,0.0975609756098,0.205282899971,0.342903167074
10,144,-0.372098526278,-0.288885976691,0.0975609756098,0.236018288868,0.181016083138
10,145,-0.776147663874,-0.786799281074,0.0975609756098,0.699966171747,0.716614084308
10,146,-0.0597617610496,-0.0633546305005,0.0975609756098,0.101132443694,0.101574784816
10,147,0.149496522221,0.145473053194,0.0975609756098,0.119910185766,0.118723384815
