epsilon,seed,n_obs,n_outliers,shift,s_observed,s_mds_rff,s_mds_exact,s_sample_median,s_oracle_clean,posterior_mean_baseline,posterior_mean_mds_rff,posterior_mean_mds_exact,posterior_mean_median,posterior_mean_oracle,sq_error_baseline,sq_error_mds_rff,sq_error_mds_exact,sq_error_median,abs_error_baseline,abs_error_mds_rff,rff_exact_abs_summary_gap,gate_passed,lbfgs_evaluations,objective_initial,objective_final,objective_reduction,adapt_ms
0,1000,100,0,8,0.0849268558895,0.0849268585443,0.0700343753842,-0.00986219601054,0.0849268558895,0.084715068219,0.0847150708672,0.0698597260691,-0.00983760200553,0.084715068219,0.00717664278335,0.00717664323203,0.00488038132645,9.67784132192e-05,0.084715068219,0.0847150708672,0.0148924831601,True,0,0.00082270411076,0.00082270411076,0,1.53219001368
0,1001,100,0,8,0.111816858091,0.111816860735,0.11158335755,0.028017450153,0.111816858091,0.111538013058,0.111538015696,0.111305094813,0.0279475812,0.111538013058,0.012440728357,0.0124407289454,0.0123888241312,0.000781067294933,0.111538013058,0.111538015696,0.000233503185817,True,0,0.00187344301958,0.00187344301958,0,1.48073188029
0,1002,100,0,8,-0.0876190360119,-0.0876190364361,-0.0880045905914,-0.0430777298319,-0.0876190360119,-0.0874005346752,-0.0874005350983,-0.087785127772,-0.0429703040717,-0.0874005346752,0.00763885346151,0.00763885353548,0.00770622865794,0.00184644703202,0.0874005346752,0.0874005350983,0.00038555415532,True,0,0.000987732433714,0.000987732433714,0,2.28702486493
0,1003,100,0,8,-0.0941120946026,-0.094112098217,-0.0913556147881,-0.100719662422,-0.0941120946026,-0.0938774010999,-0.0938774047052,-0.0911277952999,-0.100468491194,-0.0938774010999,0.00881296643727,0.00881296711419,0.00830427507622,0.0100939177228,0.0938774010999,0.0938774047052,0.00275648342887,True,0,0.000934880110435,0.000934880110435,0,1.54122081585
0,1004,100,0,8,0.0388939684311,0.0388939678669,0.0357068948354,-0.0581697659757,0.0388939684311,0.0387969759911,0.0387969754283,0.0356178502099,-0.0580247042151,0.0387969759911,0.00150520534606,0.00150520530239,0.00126863125357,0.00336686629925,0.0387969759911,0.0387969754283,0.0031870730315,True,0,0.00124817050528,0.00124817050528,0,1.4950861223
0,1005,100,0,8,-0.124180450795,-0.124180451035,-0.103685295008,-0.162515452066,-0.124180450795,-0.123870773861,-0.1238707741,-0.103426728188,-0.162110176624,-0.123870773861,0.0153439686168,0.0153439686762,0.0106970881037,0.0262797093651,0.123870773861,0.1238707741,0.0204951560271,True,0,0.00112484861165,0.00112484861165,0,1.49040599354
0,1006,100,0,8,-0.102734346755,-0.102734349668,-0.107569358362,-0.210866904321,-0.102734346755,-0.102478151377,-0.102478154282,-0.107301105598,-0.210341051691,-0.102478151377,0.0105017715096,0.0105017721051,0.0115135272626,0.0442433580267,0.102478151377,0.102478154282,0.00483500869423,True,0,0.00106642174069,0.00106642174069,0,1.47899799049
0,1007,100,0,8,0.0845361077177,0.0845361053944,0.0624755371249,0.0701551716019,0.0845361077177,0.0843252944815,0.084325292164,0.0623197377805,0.0699802210493,0.0843252944815,0.0071107552894,0.00711075489854,0.00388374971703,0.00489723133811,0.0843252944815,0.084325292164,0.0220605682694,True,0,0.000969446671661,0.000969446671661,0,1.55249098316
0,1008,100,0,8,-0.287408267639,-0.287408262491,-0.310958048221,-0.418423768031,-0.287408267639,-0.286691538792,-0.286691533657,-0.310182591742,-0.417380317238,-0.286691538792,0.0821920384152,0.0821920354707,0.0962132402195,0.174206329218,0.286691538792,0.286691533657,0.0235497857297,True,0,0.000932514551096,0.000932514551096,0,1.53736490756
0,1009,100,0,8,-0.0268363697608,-0.0268363691866,-0.0238778384584,0.0120007520741,-0.0268363697608,-0.0267694461454,-0.0267694455727,-0.0238182927266,0.0119708250116,-0.0267694461454,0.000716603246933,0.00071660321627,0.000567311068409,0.000143300651459,0.0267694461454,0.0267694455727,0.00295853072824,True,0,0.000692690140568,0.000692690140568,0,1.51335494593
