epoch,train_nll,val_nll
1,-0.345727242189,-1.44089615345
2,-1.82018299798,-2.09093022346
3,-2.21248759057,-2.42794394493
4,-2.46841274082,-2.62122225761
5,-2.39396657012,-2.51698589325
6,-2.71423375949,-2.90113925934
7,-3.00078747974,-2.92145824432
8,-3.14309057426,-3.25618553162
9,-3.28580465945,-3.32032084465
10,-3.47538901688,-3.28122353554
11,-3.54755726983,-3.74946451187
12,-3.94298391858,-3.95672273636
13,-3.95871305017,-3.93755865097
14,-4.09472527717,-4.3130607605
15,-4.26149628291,-4.05434560776
16,-4.21815054944,-4.42833185196
17,-4.05002524724,-4.37615013123
18,-4.51366997236,-4.66224956512
19,-4.76021148076,-4.85855293274
20,-4.88124575245,-4.8189034462
21,-4.91767283137,-5.00942373276
22,-4.91023411538,-4.82688093185
23,-4.92234853363,-4.95279741287
24,-4.90812080877,-4.97715187073
25,-4.98667621972,-5.2415099144
26,-5.29915933093,-5.24740695953
27,-5.24451500792,-5.25568628311
28,-5.31791031826,-5.24347829819
29,-5.32257612453,-4.95439863205
30,-5.3217518692,-3.8701851368
31,-4.44175490772,-5.25069570541
32,-5.27811018775,-5.5123667717
33,-5.51662256959,-5.585542202
34,-5.59971125771,-5.62719202042
35,-5.59922619203,-5.1041970253
36,-5.47132518723,-5.55785608292
37,-5.52985405799,-5.45669364929
38,-5.66886528195,-5.63088035583
39,-5.6706179547,-5.68026018143
40,-5.63901756489,-5.66099977493
41,-5.66199965847,-5.37956857681
42,-5.53501359379,-5.78743171692
43,-5.80436334004,-5.44501113892
44,-5.80379898969,-5.74225139618
45,-5.76891613478,-5.81671094894
46,-5.82738968681,-5.08454608917
47,-5.74238568744,-5.84840536118
48,-5.87777850678,-5.58287572861
49,-5.81491668028,-5.51198911667
50,-5.91211429977,-5.88532924652
51,-5.46295469845,-4.75477266312
52,-5.72219268664,-5.89284515381
53,-5.96200081388,-5.9549498558
54,-5.95828661167,-5.89964056015
55,-5.91973355664,-5.94749069214
56,-5.97505865748,-6.0327501297
57,-5.95947324102,-6.03137779236
58,-6.02933793057,-5.95353651047
59,-6.01305713968,-6.02326059341
60,-5.87441641011,-5.50721597672
61,-5.78070602552,-6.00963878632
62,-6.08055754089,-6.04122114182
63,-6.00794800859,-5.78287696838
64,-5.97738680828,-5.92102813721
65,-6.04525963233,-5.95540237427
66,-5.97973148346,-6.00339889526
67,-5.88884219787,-5.61266088486
68,-5.95469964285,-6.13991212845
69,-6.11094240548,-6.09590625763
70,-6.03172998383,-5.92362689972
71,-6.10282706608,-6.03166866302
72,-6.06140755709,-6.1303601265
73,-6.13979101518,-5.13587999344
74,-5.96676115103,-6.0972661972
75,-6.14537140117,-6.17683029175
76,-6.12164049552,-6.12662506104
77,-6.16060096988,-6.18754673004
78,-6.16377884023,-6.24912881851
79,-6.08881166638,-5.62282943726
80,-5.88193414553,-5.94821739197
81,-6.06091347414,-5.92620849609
82,-5.98464633762,-5.9382185936
83,-6.08348056614,-6.07918167114
84,-6.13093497153,-5.94071435928
85,-6.12607064371,-6.21572542191
86,-6.10153094841,-6.0917429924
87,-6.05756092677,-6.21300315857
88,-6.18932245232,-6.00538396835
89,-6.18440742897,-6.27613353729
90,-6.24681054777,-6.22519922256
91,-6.24466528702,-6.24102926254
92,-6.20143773023,-6.00764703751
93,-6.17140817395,-6.05045986176
94,-6.13179765634,-6.14772605896
95,-6.22011372981,-6.30879878998
96,-6.27704162149,-6.24511003494
97,-6.24540239693,-6.27563476562
98,-6.25509280665,-6.24934577942
99,-6.11903606953,-6.01436090469
100,-6.10423280155,-6.30834913254
101,-6.20797562947,-6.06697845459
102,-6.14927192374,-6.26280164719
103,-6.29293943226,-5.89449357986
104,-6.21019913931,-6.27913427353
105,-6.28201984585,-6.22577476501
106,-6.22833012188,-6.11027479172
107,-6.07704822518,-6.12800073624
108,-6.13155593378,-6.10997915268
109,-6.10022269911,-5.85816860199
110,-6.2075391269,-6.21231508255
111,-6.13779437278,-5.85573911667
112,-6.23714669284,-5.98679304123
113,-6.23951886009,-6.21119642258
114,-6.2418956972,-6.34304046631
115,-6.21995799614,-5.99491930008
116,-6.1620735909,-6.21955871582
117,-6.23611469448,-6.23061466217
118,-6.2825599354,-6.34512615204
119,-6.27263273127,-6.04631710052
120,-6.14019185122,-5.31352615356
121,-6.21140397756,-6.17066812515
122,-6.22960696815,-6.07632303238
123,-6.10777738683,-6.27263212204
124,-6.35214169491,-6.26958942413
125,-6.3230829562,-6.19544410706
126,-6.35586557119,-6.24492311478
127,-6.17344132479,-6.26260614395
128,-6.31598231663,-6.21690416336
129,-6.16743269326,-6.32651519775
130,-6.36951458471,-6.09762239456
131,-6.24167856822,-6.26749849319
132,-6.34363262446,-6.2426738739
133,-6.31895173062,-6.19232416153
134,-6.25448944698,-6.08990573883
135,-6.30702141302,-6.30897903442
136,-6.34424751529,-6.39807605743
137,-6.34732844454,-6.33108091354
138,-6.33017299921,-6.31221437454
139,-6.32716250835,-6.23220205307
140,-6.27255209508,-6.14166688919
141,-6.30985560473,-6.45873641968
142,-6.39170788799,-6.08653783798
143,-6.31001062012,-6.22386932373
144,-6.27795041028,-6.37803792953
145,-6.39719321352,-6.35709428787
146,-6.29216333277,-5.83925151825
147,-6.2830446719,-6.26424694061
148,-6.39149276576,-6.15425205231
149,-6.2636506599,-6.29443502426
150,-6.3647468347,-6.17568159103
151,-6.27603928061,-6.40984296799
152,-6.35844628211,-6.36658334732
153,-6.34282471062,-6.45686149597
154,-6.41651322735,-6.33331775665
155,-6.36066727896,-6.38350391388
156,-6.36852361342,-6.03730869293
157,-6.27648536705,-6.3378534317
158,-6.21868759066,-6.32992601395
159,-6.3985435975,-6.40007352829
160,-6.41491529106,-6.33685588837
161,-6.36163913233,-6.24849224091
162,-6.33958344448,-6.34693622589
163,-6.30555027928,-6.23094987869
164,-6.24938678248,-6.39025259018
165,-6.38454147586,-6.11833810806
166,-6.08970942486,-6.08042907715
167,-6.16191734785,-6.09500408173
168,-6.35282993788,-6.38221740723
169,-6.34093754937,-6.24539518356
170,-6.3474028906,-5.94712352753
171,-6.16809748638,-6.20738983154
172,-6.41434723304,-6.38006067276
173,-6.38510407639,-6.27071762085
174,-6.37895201605,-6.30767011642
175,-6.16709092937,-6.36033678055
176,-6.38058996874,-5.62004089355
