n,trials,original_mean_rmse,mds_mean_rmse,posterior_std,original_posterior_rms_radius,mds_posterior_rms_radius
10,300,0.318136760081,0.345761230324,0.312347523777,0.445838506328,0.465952576991
30,300,0.192441716186,0.218616414213,0.181818181818,0.264748305695,0.284343081159
100,300,0.101521960904,0.110070432021,0.0998752338878,0.142414082485,0.14862894183
300,300,0.0592523987667,0.064413733771,0.0577109856825,0.0827127839457,0.08648518351
1000,300,0.0302685889247,0.0328134466387,0.0316188244956,0.04377142376,0.0455683260916
