epsilon,trials,neural_npe_baseline_rmse,neural_npe_mds_rmse,rmse_reduction_pct,paired_win_rate,paired_ttest_pvalue,gate_pass_rate,median_adapt_ms,p95_adapt_ms
0,50,0.342171060902,0.343823555398,-0.482943967217,0.02,0.455875523474,0.88,16.8608503882,123.630682961
0.1,50,2.78379852109,0.709744413395,74.5044618704,0.96,1.95897715122e-18,0,134.978724993,157.544447563
0.2,50,2.78379852109,0.776139249715,72.1194172698,0.96,5.48672544487e-17,0,140.46420448,159.495115699
0.3,50,2.78379852109,0.89551698497,67.8311135599,0.92,1.51414635848e-15,0,132.988943951,157.944828528
0.4,50,2.78379852109,1.05852706791,61.9754425511,0.92,5.9735446101e-15,0,134.069211548,165.325102955
