epsilon,seed,s_observed,s_mds_rff,adapt_ms,theta_true,npe_mean_baseline,npe_mean_mds,abs_error_baseline,abs_error_mds
0,1000,0.0849268558895,0.0849268585443,1.53219001368,0,0.0802145078778,0.0802145078778,0.0802145078778,0.0802145078778
0,1001,0.111816858091,0.111816860735,1.48073188029,0,0.106921233237,0.106921233237,0.106921233237,0.106921233237
0,1002,-0.0876190360119,-0.0876190364361,2.28702486493,0,-0.0910063460469,-0.0910063460469,0.0910063460469,0.0910063460469
0,1003,-0.0941120946026,-0.094112098217,1.54122081585,0,-0.097444601357,-0.097444601357,0.097444601357,0.097444601357
0,1004,0.0388939684311,0.0388939678669,1.4950861223,0,0.0345099978149,0.0345099978149,0.0345099978149,0.0345099978149
0,1005,-0.124180450795,-0.124180451035,1.49040599354,0,-0.127254277468,-0.127254277468,0.127254277468,0.127254277468
0,1006,-0.102734346755,-0.102734349668,1.47899799049,0,-0.10599347204,-0.10599347204,0.10599347204,0.10599347204
0,1007,0.0845361077177,0.0845361053944,1.55249098316,0,0.0798265784979,0.0798265784979,0.0798265784979,0.0798265784979
0,1008,-0.287408267639,-0.287408262491,1.53736490756,0,-0.288955509663,-0.288955509663,0.288955509663,0.288955509663
0,1009,-0.0268363697608,-0.0268363691866,1.51335494593,0,-0.0307196862996,-0.0307196862996,0.0307196862996,0.0307196862996
0,1010,-0.0755612769916,-0.0755612775683,1.49734015577,0,-0.0790494978428,-0.0790494978428,0.0790494978428,0.0790494978428
0,1011,0.000559724260032,0.000559724285267,1.95607310161,0,-0.00353692309,-0.00353692309,0.00353692309,0.00353692309
0,1012,-0.0939967938968,-0.0939967930317,1.5912130475,0,-0.0973303094506,-0.0973303094506,0.0973303094506,0.0973303094506
0,1013,-0.00569587740714,-0.00569587759674,1.53336906806,0,-0.00974439363927,-0.00974439363927,0.00974439363927,0.00974439363927
0,1014,0.0431385330731,0.0431385338306,1.51795893908,0,0.0387234054506,0.0387234054506,0.0387234054506,0.0387234054506
0,1015,-0.00876392921211,-0.00876392889768,1.48111302406,0,-0.012788827531,-0.012788827531,0.012788827531,0.012788827531
0,1016,0.128038873134,0.128038868308,1.51461805217,0,0.123035848141,0.123035848141,0.123035848141,0.123035848141
0,1017,0.0381676542994,0.038167655468,1.51520804502,0,0.0337888523936,0.0337888523936,0.0337888523936,0.0337888523936
0,1018,0.0120110240956,0.0120110241696,1.50639517233,0,0.00782714318484,0.00782714318484,0.00782714318484,0.00782714318484
0,1019,0.0762303373149,0.0762303397059,1.48753589019,0,0.0715785548091,0.0715785548091,0.0715785548091,0.0715785548091
0,1020,-0.0132544615714,-0.01325446181,1.49823399261,0,-0.0172443799675,-0.0172443799675,0.0172443799675,0.0172443799675
0,1021,0.133818012471,0.133818015456,1.5405130107,0,0.128777459264,0.128777459264,0.128777459264,0.128777459264
0,1022,-0.0275130294546,-0.0275130290538,2.19841208309,0,-0.0313910469413,-0.0313910469413,0.0313910469413,0.0313910469413
0,1023,-0.0873254180753,-0.0873254165053,1.53596093878,0,-0.0907150954008,-0.0907150954008,0.0907150954008,0.0907150954008
0,1024,-0.0194193820637,-0.019419381395,1.50573905557,0,-0.0233611147851,-0.0233611147851,0.0233611147851,0.0233611147851
0,1025,-0.148497583055,-0.148497581482,2.45648389682,0,-0.151356980205,-0.151356980205,0.151356980205,0.151356980205
0,1026,-0.0669900284723,-0.0669900253415,1.54190813191,0,-0.070549249649,-0.070549249649,0.070549249649,0.070549249649
0,1027,0.128352511253,0.128352507949,1.56498583965,0,0.123347528279,0.123347528279,0.123347528279,0.123347528279
0,1028,-0.124716939018,-0.124716937542,1.52967008762,0,-0.127786174417,-0.127786174417,0.127786174417,0.127786174417
0,1029,0.0175882696795,0.0175882689655,1.4879880473,0,0.0133623033762,0.0133623033762,0.0133623033762,0.0133623033762
0,1030,0.0434031986116,0.0434031970799,1.48296705447,0,0.0389860756695,0.0389860756695,0.0389860756695,0.0389860756695
0,1031,-0.119754055399,-0.119754053652,1.50413904339,0,-0.122866496444,-0.122866496444,0.122866496444,0.122866496444
0,1032,-0.0391563491499,-0.0391563475132,1.53817096725,0,-0.0429417639971,-0.0429417639971,0.0429417639971,0.0429417639971
0,1033,-0.115854415725,-0.115854412317,1.52253895067,0,-0.119000725448,-0.119000725448,0.119000725448,0.119000725448
