epsilon,trials,neural_npe_baseline_rmse,neural_npe_mds_rmse,rmse_reduction_pct,paired_win_rate,paired_ttest_pvalue,median_adapt_ms
0,50,0.102310784161,0.102310784161,0,0,1,1.51822553017
0.1,50,0.801883459091,0.111497290432,86.0955742174,1,1.17663108414e-39,5.82217506599
0.2,50,1.60385870934,0.123050130904,92.3278696442,1,0,7.14358850382
0.3,50,2.39238333702,0.156798675656,93.4459217622,1,0,8.40364384931
0.4,50,3.20234775543,0.1928204,93.9787801099,1,0,9.38262662385
0.5,50,4.0075507164,3.81379532814,4.83475823442,0.74,0.0262271445245,3.88522609137
